timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1548171059968,34432,HTTP Request Immagine,200,OK,Thread Group 1-7,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,2904,0,1506
1548171070925,23565,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-8,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,3052,0,1532
1548171066318,28894,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-29,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,3733,0,2037
1548171061152,34330,HTTP Request Immagine,200,OK,Thread Group 1-15,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,2475,0,1408
1548171072798,23645,HTTP Request Pagina Media,200,OK,Thread Group 1-18,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,4052,0,1606
1548171084653,11843,HTTP Request Pagina Piccola,200,OK,Thread Group 1-2,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,4196,0,2255
1548171080527,16425,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-26,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,4730,0,2128
1548171094158,4116,HTTP Request Pagina Piccola,200,OK,Thread Group 1-3,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,2510,0,1316
1548171070923,28116,HTTP Request Immagine,200,OK,Thread Group 1-14,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,3055,0,1533
1548171094492,4646,HTTP Request Pagina Piccola,200,OK,Thread Group 1-8,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,2653,0,1349
1548171071151,28559,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-22,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,2986,0,1473
1548171077956,22155,HTTP Request Pagina Media,200,OK,Thread Group 1-25,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,4343,0,2037
1548171067716,33479,HTTP Request Immagine,200,OK,Thread Group 1-24,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,3282,0,1516
1548171086179,15110,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-13,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,4789,0,2523
1548171079026,22508,HTTP Request Pagina Media,200,OK,Thread Group 1-9,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,5199,0,2572
1548171067644,34258,HTTP Request Immagine,200,OK,Thread Group 1-1,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,3307,0,1534
1548171088608,13396,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-6,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,4552,0,2189
1548171099138,3713,HTTP Request Pagina Piccola,200,OK,Thread Group 1-8,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,2834,0,1667
