 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
 1  0  62696 171560  96884 166880    0    0     0     0   49   99  0  0 100  0  0
 0  0  62696 171560  96884 166880    0    0     0     0   59  112  0  0 100  0  0
 0  0  62696 171560  96884 166880    0    0     0    24   57  112  0  1 99  0  0
 0  0  62696 171560  96884 166880    0    0     0     0   61  113  0  0 100  0  0
 0  0  62696 171560  96884 166880    0    0     0     0   55  105  0  0 100  0  0
 0  0  62696 171560  96884 166880    0    0     0     0   61  110  0  0 100  0  0
 0  0  62696 171560  96884 166880    0    0     0     0   52  106  0  0 100  0  0
 1  0  62696 171560  96884 166880    0    0     0     0   62  113  0  0 100  0  0
 0  0  62696 171560  96884 166880    0    0     0     9   57  123  0  0 100  0  0
 0  0  62696 171552  96884 166880    0    0     0     0   58  108  0  0 100  0  0
 0  0  62696 171552  96884 166880    0    0     0     0   54  105  0  0 100  0  0
